Año,Código,Programa,Económica,Descripción,Finaciación,Cantidad
2021,3,15321,61900,ADECUACIÓN PLAZA CALVARIO,,216000
2021,2,15320,61900,REMODELACIÓN C/ CARDENAL  MONESCILLO,,110000
2021,5,16500,63900,ALUMBRADO CAMINO CRISTO DE VILLAJOS,,24000
2021,6,17100,63500,ARBOLADO ZONAS VERDES,,15000
2021,1,15000,61900,PRESUPUESTOS PARTICIPATIVOS,,15000
2021,7,92000,63600,EQUIPOS INFORMATICOS,,10000
2021,4,16400,62200,SITIOS EN CEMENTERIO,,10000
2021,8,92000,64100,IMPLANTACIÓN WEB MUNICIPAL,,6000
2022,1,15000,61900,PRESUPUESTOS PARTICIPATIVOS,FONDOS PROPIOS,15000
2022,2,16400,62200,SITIOS DEL CEMENTERIO,FONDOS PROPIOS,60000
2022,3,17100,63500,ARBOLADO ZONAS VERDES,FONDOS PROPIOS,10000
2022,4,33310,62200,REMODELACION TEATRO,FONDOS PROPIOS,18000
2022,5,41000,62400,ELEMENTOS DE TRANSPORTE: PALA,FONDOS PROPIOS,9100
2022,6,41000,62400,ELEMENTOS DE TRANSPORTE: TRACTOR,FONDOS PROPIOS,18100
2022,7,43205,61900,ILUMINACION ARTISTICA DE LOS MOLINOS Y DE LA ERMITA DE LA VIRGEN DE LA PAZ,PLAN MEJORA RECURSOS TURISTICOS JCCM,80000
2022,8,43205,62200,ADECUACION DEL ESPACIO MUSEISTICO DEL POSITO MUNICIPAL,PLAN MEJORA RECURSOS TURISTICOS JCCM,40000
2022,9,43205,62300,CONTROL DE LA CAPACIDAD DE CARGA EN ZONAS TURISTICAS,PLAN MEJORA RECURSOS TURISTICOS JCCM,55000
2022,10,43205,64100,DESARROLLO WEB TURISTICA DEL DESTINO,PLAN MEJORA RECURSOS TURISTICOS JCCM,15000
2022,11,49100,62300,VIDEOCAMARAS GRABACION MANCHACENTRO TV,FONDOS PROPIOS,10000
2022,12,92000,63600,OTRAS INVERSIONES NUEVAS DE LOS SERVICIOS: EQUIPOS INFORMATICOS,FONDOS PROPIOS,18000
2022,13,93200,62300,MAQUINARIA INSTALACIONES TECNICAS Y UTILLAJE: CAJERO RECAUDACION,FONDOS PROPIOS,12500
